2h9g.pdb,0,H,L,S,5.00e-09
1sy6.pdb,0,H,L,A,2.73e-06
5xmh.pdb,0,H,L,A,0.00015999999999999999
5tkj.pdb,0,J,K,L,7.150000000000001e-09
3etb.pdb,0,I,i,M,3.50e-11
5drz.pdb,0,B,A,Q,4.4000000000000005e-09
3ifp.pdb,0,E,F,S,2.45e-08
5myk.pdb,0,B,A,C,9.9e-10
2ntf.pdb,0,H,L,H,3.00e-07
4xgz.pdb,0,C,D,c,2.4000000000000003e-08
6bf4.pdb,0,B,C,A,1.78e-07
4dn4.pdb,0,H,L,M,3.8e-11
4fqr.pdb,0,w,x,W,1.0000000000000001e-07
5ip4.pdb,0,A,NA,E,4.51e-07
5toj.pdb,0,F,NA,C,2.3e-08
4yhp.pdb,0,H,L,P,2e-09
5mev.pdb,0,H,L,A,1e-07
4mhj.pdb,0,K,J,G,1e-09
4f9l.pdb,0,d,D,A,6.600000000000001e-08
5u7o.pdb,0,H,L,G,7.3e-08
3uc0.pdb,0,I,M,B,1.30e-09
5c0s.pdb,0,H,L,A,7.700000000000001e-09
3iu3.pdb,0,A,B,K,1.40e-10
1kxq.pdb,0,G,NA,B,3.50e-09
4khx.pdb,0,H,L,A,4.2e-09
1ngw.pdb,0,B,A,B,2.07e-08
4m5z.pdb,0,H,L,A,5e-09
1jps.pdb,0,H,L,T,1.00e-10
2fjg.pdb,0,H,L,W,2.00e-08
4hj0.pdb,0,C,D,B,2.3e-08
4f3f.pdb,0,B,A,C,7.2e-10
5nh3.pdb,0,I,M,B,9.73e-10
3fku.pdb,0,U,u,H | G,1.30E-10
2z92.pdb,0,A,B,A,1.11e-08
4x7f.pdb,0,D,NA,B,2.8000000000000003e-08
4yhp.pdb,0,E,F,,2e-09
4zs6.pdb,0,C,D,B,3.12e-07
1n7m.pdb,0,L,H,L,1.96e-06
3ogo.pdb,0,G,NA,B,1.40e-09
4z5r.pdb,0,W,V,F,1.8e-11
6bit.pdb,0,J,L,G,2.6e-09
5kov.pdb,0,C,c,A,1.8700000000000004e-09
2qr0.pdb,0,R,Q,P,7.80e-09
5bo1.pdb,0,I,M,A,7.900000000000001e-10
4n8c.pdb,0,H,L,X,4.0000000000000007e-10
5u8q.pdb,0,H,L,A,2.4e-06
1dbb.pdb,0,H,L,H,1e-09
6bli.pdb,0,D,E,F,5.200000000000001e-10
3sqo.pdb,0,H,L,A,5e-12
5dmi.pdb,0,H,L,A,9.100000000000001e-10
4m8q.pdb,0,A,B,S,3.96e-09
4kxz.pdb,0,N,M,E,3.0000000000000004e-09
6h06.pdb,0,E,F,J,5.6e-06
4cmh.pdb,0,B,C,A,2.0000000000000003e-10
5vm0.pdb,0,B,NA,B,1.6000000000000003e-09
3ikc.pdb,0,B,A,B,3.5e-08
5o2u.pdb,0,D,NA,C,6.9e-10
5aaw.pdb,0,K,k,L,4.320000000000001e-09
3eoa.pdb,0,H,L,I,2.20e-09
4m1g.pdb,0,H,L,B | A,1.4400000000000002e-08
6mu3.pdb,0,H,L,H,7e-07
4xi5.pdb,0,D,C,B | A,4.900000000000001e-10
5dwu.pdb,0,H,L,A | B,4.9e-08
3n85.pdb,0,H,L,A,7.90e-10
3uaj.pdb,0,C,D,B,2.9e-09
5i5k.pdb,0,X,Y,A,1.7600000000000003e-11
2nyy.pdb,0,D,C,A,2.48e-12
3eo1.pdb,0,H,G,I,2.50e-10
5boz.pdb,0,I,NA,C,7e-10
6bb4.pdb,0,I,M,Q,1.5400000000000002e-08
5kzp.pdb,0,F,J,C,7e-08
5icx.pdb,0,B,A,,1.1e-07
4iof.pdb,0,E,F,B,4e-09
2hkf.pdb,0,H,L,P,3.10e-07
5n88.pdb,0,A,NA,D,1.0129999999999999e-06
6azk.pdb,0,B,A,,2.2999999999999996e-06
5kzp.pdb,0,H,L,A,7e-08
5dyo.pdb,0,H,L,A,6.1e-11
1dzb.pdb,0,A,a,X,5.20e-07
5alb.pdb,0,H,L,L,1.9600000000000002e-11
5hgg.pdb,0,T,NA,A,5.4e-11
5hys.pdb,0,A,B,G,3.8899999999999996e-11
5m63.pdb,0,H,L,L,1.0999999999999999e-07
5xxy.pdb,0,H,L,A,9.960000000000001e-09
2vis.pdb,0,B,A,C,4.00e-06
4nm8.pdb,0,H,L,B | A,2.5e-09
4aei.pdb,0,H,L,A,8.000000000000001e-10
2y06.pdb,0,H,L,P,8e-07
1igj.pdb,0,D,C,D,4.17e-11
1ob1.pdb,0,B,A,C,2.00e-10
5mes.pdb,0,H,L,A,3.4000000000000003e-07
4kv5.pdb,0,J,I,B,1.7000000000000001e-09
5e7f.pdb,0,B,NA,H,9.1e-09
5m2m.pdb,0,H,NA,G,1.5000000000000002e-09
5esq.pdb,0,B,A,,1.6000000000000001e-06
5d1q.pdb,0,B,A,E,1.3e-11
3nfp.pdb,0,H,L,I,2.70e-10
4jan.pdb,0,A,B,I,2e-08
5o0w.pdb,0,H,NA,D,7.382999999999999e-11
5fv2.pdb,0,A,NA,X,7.1699999999999995e-12
2vxs.pdb,0,K,O,C,2.10e-09
3hzm.pdb,0,B,A,B,3e-06
3g5y.pdb,0,B,A,E,1.54e-07
1f90.pdb,0,H,L,E,1.19e-08
6ii8.pdb,0,J,K,E,3.8600000000000004e-07
2r23.pdb,0,B,A,B,0.00018999999999999998
4mhh.pdb,0,H,L,E,9.000000000000001e-10
4z5r.pdb,0,Z,Y,X,1.8e-11
1d6v.pdb,0,H,L,H,6.7e-07
